Episode: 0, step: 9, Pop: 8/5, Epsilon: 1.00, Mean Loss: 0.00, Median Loss: 0.00, Std Loss: 0.00, Mean Reward: -1.88, Median Reward: 0.05, Std Reward: -94.20
Episode: 1, step: 9, Pop: 7/5, Epsilon: 1.00, Mean Loss: 60.69, Median Loss: 60.69, Std Loss: 60.69, Mean Reward: -2.26, Median Reward: 0.45, Std Reward: -112.90
Episode: 2, step: 9, Pop: 6/5, Epsilon: 0.99, Mean Loss: 70.89, Median Loss: 70.89, Std Loss: 70.89, Mean Reward: -0.82, Median Reward: 0.45, Std Reward: -40.90
Episode: 3, step: 9, Pop: 6/5, Epsilon: 0.99, Mean Loss: 72.40, Median Loss: 72.40, Std Loss: 72.40, Mean Reward: 1.05, Median Reward: 1.45, Std Reward: 52.50
Episode: 4, step: 9, Pop: 8/5, Epsilon: 0.98, Mean Loss: 54.96, Median Loss: 54.96, Std Loss: 54.96, Mean Reward: -2.35, Median Reward: 0.70, Std Reward: -117.50
Episode: 5, step: 9, Pop: 8/5, Epsilon: 0.98, Mean Loss: 37.29, Median Loss: 37.29, Std Loss: 37.29, Mean Reward: -1.70, Median Reward: 0.95, Std Reward: -85.00
Episode: 6, step: 9, Pop: 7/5, Epsilon: 0.98, Mean Loss: 40.53, Median Loss: 40.53, Std Loss: 40.53, Mean Reward: 0.85, Median Reward: 1.95, Std Reward: 42.50
Episode: 7, step: 9, Pop: 6/5, Epsilon: 0.97, Mean Loss: 57.94, Median Loss: 57.94, Std Loss: 57.94, Mean Reward: 0.42, Median Reward: 0.95, Std Reward: 21.00
Episode: 8, step: 9, Pop: 7/5, Epsilon: 0.97, Mean Loss: 28.11, Median Loss: 28.11, Std Loss: 28.11, Mean Reward: -0.63, Median Reward: 0.95, Std Reward: -31.50
Episode: 9, step: 9, Pop: 9/5, Epsilon: 0.97, Mean Loss: 62.94, Median Loss: 62.94, Std Loss: 62.94, Mean Reward: -2.18, Median Reward: 0.95, Std Reward: -109.00
Episode: 10, step: 9, Pop: 8/5, Epsilon: 0.96, Mean Loss: 42.64, Median Loss: 42.64, Std Loss: 42.64, Mean Reward: -1.48, Median Reward: 0.95, Std Reward: -74.20
Episode: 11, step: 9, Pop: 7/5, Epsilon: 0.96, Mean Loss: 49.39, Median Loss: 49.39, Std Loss: 49.39, Mean Reward: -1.46, Median Reward: 0.95, Std Reward: -73.00
Episode: 12, step: 9, Pop: 9/5, Epsilon: 0.96, Mean Loss: 35.84, Median Loss: 35.84, Std Loss: 35.84, Mean Reward: -3.93, Median Reward: -8.05, Std Reward: -196.50
Episode: 13, step: 9, Pop: 8/5, Epsilon: 0.95, Mean Loss: 49.75, Median Loss: 49.75, Std Loss: 49.75, Mean Reward: -3.04, Median Reward: -0.05, Std Reward: -151.80
Episode: 14, step: 9, Pop: 7/5, Epsilon: 0.95, Mean Loss: 88.76, Median Loss: 88.76, Std Loss: 88.76, Mean Reward: -0.08, Median Reward: 0.95, Std Reward: -4.00
Episode: 15, step: 9, Pop: 6/5, Epsilon: 0.94, Mean Loss: 44.54, Median Loss: 44.54, Std Loss: 44.54, Mean Reward: -1.08, Median Reward: 0.45, Std Reward: -53.90
Episode: 16, step: 9, Pop: 7/5, Epsilon: 0.94, Mean Loss: 33.19, Median Loss: 33.19, Std Loss: 33.19, Mean Reward: -2.32, Median Reward: 0.25, Std Reward: -116.10
Episode: 17, step: 9, Pop: 8/5, Epsilon: 0.94, Mean Loss: 47.34, Median Loss: 47.34, Std Loss: 47.34, Mean Reward: -1.56, Median Reward: 0.95, Std Reward: -78.00
Episode: 18, step: 9, Pop: 8/5, Epsilon: 0.93, Mean Loss: 42.97, Median Loss: 42.97, Std Loss: 42.97, Mean Reward: -1.22, Median Reward: 0.70, Std Reward: -61.10
Episode: 19, step: 9, Pop: 9/5, Epsilon: 0.93, Mean Loss: 43.09, Median Loss: 43.09, Std Loss: 43.09, Mean Reward: -2.02, Median Reward: 0.95, Std Reward: -101.00
Episode: 20, step: 9, Pop: 8/5, Epsilon: 0.93, Mean Loss: 38.22, Median Loss: 38.22, Std Loss: 38.22, Mean Reward: -2.29, Median Reward: 0.45, Std Reward: -114.70
Episode: 21, step: 9, Pop: 9/5, Epsilon: 0.92, Mean Loss: 37.73, Median Loss: 37.73, Std Loss: 37.73, Mean Reward: -3.36, Median Reward: -0.05, Std Reward: -168.10
Episode: 22, step: 9, Pop: 6/5, Epsilon: 0.92, Mean Loss: 36.63, Median Loss: 36.63, Std Loss: 36.63, Mean Reward: -0.69, Median Reward: 0.45, Std Reward: -34.50
Episode: 23, step: 9, Pop: 7/5, Epsilon: 0.92, Mean Loss: 37.83, Median Loss: 37.83, Std Loss: 37.83, Mean Reward: -1.16, Median Reward: 0.95, Std Reward: -58.00
Episode: 24, step: 9, Pop: 8/5, Epsilon: 0.91, Mean Loss: 43.20, Median Loss: 43.20, Std Loss: 43.20, Mean Reward: -2.03, Median Reward: 0.70, Std Reward: -101.50
Episode: 25, step: 9, Pop: 7/5, Epsilon: 0.91, Mean Loss: 59.54, Median Loss: 59.54, Std Loss: 59.54, Mean Reward: 0.40, Median Reward: 0.95, Std Reward: 20.00
Episode: 26, step: 9, Pop: 8/5, Epsilon: 0.91, Mean Loss: 33.16, Median Loss: 33.16, Std Loss: 33.16, Mean Reward: -0.27, Median Reward: 0.95, Std Reward: -13.50
Episode: 27, step: 9, Pop: 7/5, Epsilon: 0.90, Mean Loss: 38.06, Median Loss: 38.06, Std Loss: 38.06, Mean Reward: -0.13, Median Reward: 0.95, Std Reward: -6.50
Episode: 28, step: 9, Pop: 5/5, Epsilon: 0.90, Mean Loss: 36.96, Median Loss: 36.96, Std Loss: 36.96, Mean Reward: 0.74, Median Reward: 0.95, Std Reward: 37.00
Episode: 29, step: 9, Pop: 9/5, Epsilon: 0.90, Mean Loss: 32.38, Median Loss: 32.38, Std Loss: 32.38, Mean Reward: -2.78, Median Reward: 0.25, Std Reward: -138.80
Episode: 30, step: 9, Pop: 6/5, Epsilon: 0.89, Mean Loss: 56.08, Median Loss: 56.08, Std Loss: 56.08, Mean Reward: -2.82, Median Reward: -8.05, Std Reward: -141.00
Episode: 31, step: 9, Pop: 8/5, Epsilon: 0.89, Mean Loss: 43.09, Median Loss: 43.09, Std Loss: 43.09, Mean Reward: -1.00, Median Reward: 0.95, Std Reward: -50.00
Episode: 32, step: 9, Pop: 6/5, Epsilon: 0.89, Mean Loss: 37.24, Median Loss: 37.24, Std Loss: 37.24, Mean Reward: -1.02, Median Reward: 0.45, Std Reward: -51.00
Episode: 33, step: 9, Pop: 8/5, Epsilon: 0.88, Mean Loss: 45.92, Median Loss: 45.92, Std Loss: 45.92, Mean Reward: -0.65, Median Reward: 0.95, Std Reward: -32.40
Episode: 34, step: 9, Pop: 7/5, Epsilon: 0.88, Mean Loss: 43.52, Median Loss: 43.52, Std Loss: 43.52, Mean Reward: -0.85, Median Reward: 0.95, Std Reward: -42.30
Episode: 35, step: 9, Pop: 7/5, Epsilon: 0.88, Mean Loss: 38.12, Median Loss: 38.12, Std Loss: 38.12, Mean Reward: -0.17, Median Reward: 0.95, Std Reward: -8.50
Episode: 36, step: 9, Pop: 10/5, Epsilon: 0.87, Mean Loss: 48.32, Median Loss: 48.32, Std Loss: 48.32, Mean Reward: -2.31, Median Reward: 0.70, Std Reward: -115.50
Episode: 37, step: 9, Pop: 7/5, Epsilon: 0.87, Mean Loss: 36.87, Median Loss: 36.87, Std Loss: 36.87, Mean Reward: -0.77, Median Reward: 0.95, Std Reward: -38.40
Episode: 38, step: 9, Pop: 7/5, Epsilon: 0.87, Mean Loss: 31.65, Median Loss: 31.65, Std Loss: 31.65, Mean Reward: -0.37, Median Reward: 0.95, Std Reward: -18.50
