Episode: 0, step: 9, Pop: 8/5, Epsilon: 1.00, Mean Loss: 31.58, Median Loss: 31.58, Std Loss: 31.58, Mean Reward: -1.18, Median Reward: -5.00, Std Reward: -103.80
Episode: 1, step: 9, Pop: 7/5, Epsilon: 1.00, Mean Loss: 50.85, Median Loss: 50.85, Std Loss: 50.85, Mean Reward: -0.44, Median Reward: 0.00, Std Reward: -40.00
Episode: 2, step: 9, Pop: 6/5, Epsilon: 0.99, Mean Loss: 44.30, Median Loss: 44.30, Std Loss: 44.30, Mean Reward: 2.47, Median Reward: 2.00, Std Reward: 193.00
Episode: 3, step: 9, Pop: 6/5, Epsilon: 0.99, Mean Loss: 56.40, Median Loss: 56.40, Std Loss: 56.40, Mean Reward: -1.09, Median Reward: 0.00, Std Reward: -94.60
Episode: 4, step: 9, Pop: 8/5, Epsilon: 0.98, Mean Loss: 44.94, Median Loss: 44.94, Std Loss: 44.94, Mean Reward: -0.48, Median Reward: 0.00, Std Reward: -44.50
Episode: 5, step: 9, Pop: 8/5, Epsilon: 0.98, Mean Loss: 53.17, Median Loss: 53.17, Std Loss: 53.17, Mean Reward: -1.20, Median Reward: 0.00, Std Reward: -101.10
Episode: 6, step: 9, Pop: 7/5, Epsilon: 0.98, Mean Loss: 22.34, Median Loss: 22.34, Std Loss: 22.34, Mean Reward: -1.55, Median Reward: 0.00, Std Reward: -127.50
Episode: 7, step: 9, Pop: 6/5, Epsilon: 0.97, Mean Loss: 32.26, Median Loss: 32.26, Std Loss: 32.26, Mean Reward: 0.71, Median Reward: 2.00, Std Reward: 61.60
Episode: 8, step: 9, Pop: 7/5, Epsilon: 0.97, Mean Loss: 48.47, Median Loss: 48.47, Std Loss: 48.47, Mean Reward: -2.74, Median Reward: -5.65, Std Reward: -224.90
Episode: 9, step: 9, Pop: 9/5, Epsilon: 0.97, Mean Loss: 49.81, Median Loss: 49.81, Std Loss: 49.81, Mean Reward: -0.45, Median Reward: 2.00, Std Reward: -42.00
Episode: 10, step: 9, Pop: 8/5, Epsilon: 0.96, Mean Loss: 44.93, Median Loss: 44.93, Std Loss: 44.93, Mean Reward: -0.45, Median Reward: 0.00, Std Reward: -41.80
Episode: 11, step: 9, Pop: 7/5, Epsilon: 0.96, Mean Loss: 52.62, Median Loss: 52.62, Std Loss: 52.62, Mean Reward: -0.53, Median Reward: 2.00, Std Reward: -42.10
Episode: 12, step: 9, Pop: 9/5, Epsilon: 0.96, Mean Loss: 57.15, Median Loss: 57.15, Std Loss: 57.15, Mean Reward: 0.26, Median Reward: 2.00, Std Reward: 24.70
Episode: 13, step: 9, Pop: 8/5, Epsilon: 0.95, Mean Loss: 48.85, Median Loss: 48.85, Std Loss: 48.85, Mean Reward: 1.86, Median Reward: 2.00, Std Reward: 154.30
Episode: 14, step: 9, Pop: 7/5, Epsilon: 0.95, Mean Loss: 70.08, Median Loss: 70.08, Std Loss: 70.08, Mean Reward: 0.21, Median Reward: 0.00, Std Reward: 15.70
