Episode: 0, step: 9, Pop: 8/5, Epsilon: 1.00, Mean Loss: 0.00, Median Loss: 0.00, Std Loss: 0.00, Mean Reward: -2.09, Median Reward: 0.25, Std Reward: -104.30
Episode: 1, step: 9, Pop: 9/5, Epsilon: 1.00, Mean Loss: 51.48, Median Loss: 51.48, Std Loss: 51.48, Mean Reward: -2.65, Median Reward: 0.45, Std Reward: -132.50
Episode: 2, step: 9, Pop: 4/5, Epsilon: 0.99, Mean Loss: 48.53, Median Loss: 48.53, Std Loss: 48.53, Mean Reward: 0.15, Median Reward: 0.95, Std Reward: 7.50
Episode: 3, step: 9, Pop: 6/5, Epsilon: 0.99, Mean Loss: 57.73, Median Loss: 57.73, Std Loss: 57.73, Mean Reward: -1.40, Median Reward: 0.45, Std Reward: -70.00
Episode: 4, step: 9, Pop: 10/5, Epsilon: 0.98, Mean Loss: 48.81, Median Loss: 48.81, Std Loss: 48.81, Mean Reward: -4.31, Median Reward: -8.05, Std Reward: -215.70
Episode: 5, step: 9, Pop: 10/5, Epsilon: 0.98, Mean Loss: 58.89, Median Loss: 58.89, Std Loss: 58.89, Mean Reward: -3.04, Median Reward: 0.45, Std Reward: -151.90
Episode: 6, step: 9, Pop: 5/5, Epsilon: 0.98, Mean Loss: 66.28, Median Loss: 66.28, Std Loss: 66.28, Mean Reward: -0.26, Median Reward: 0.95, Std Reward: -13.00
Episode: 7, step: 9, Pop: 9/5, Epsilon: 0.97, Mean Loss: 76.08, Median Loss: 76.08, Std Loss: 76.08, Mean Reward: -3.15, Median Reward: 0.45, Std Reward: -157.50
Episode: 8, step: 9, Pop: 8/5, Epsilon: 0.97, Mean Loss: 53.72, Median Loss: 53.72, Std Loss: 53.72, Mean Reward: -1.84, Median Reward: 0.70, Std Reward: -92.10
Episode: 9, step: 9, Pop: 8/5, Epsilon: 0.97, Mean Loss: 45.86, Median Loss: 45.86, Std Loss: 45.86, Mean Reward: -2.23, Median Reward: 0.45, Std Reward: -111.70
Episode: 10, step: 9, Pop: 7/5, Epsilon: 0.96, Mean Loss: 57.12, Median Loss: 57.12, Std Loss: 57.12, Mean Reward: -0.79, Median Reward: 0.95, Std Reward: -39.50
Episode: 11, step: 9, Pop: 9/5, Epsilon: 0.96, Mean Loss: 55.39, Median Loss: 55.39, Std Loss: 55.39, Mean Reward: -3.11, Median Reward: 0.25, Std Reward: -155.40
Episode: 12, step: 9, Pop: 8/5, Epsilon: 0.96, Mean Loss: 45.04, Median Loss: 45.04, Std Loss: 45.04, Mean Reward: -1.62, Median Reward: 0.95, Std Reward: -81.00
Episode: 13, step: 9, Pop: 6/5, Epsilon: 0.95, Mean Loss: 50.13, Median Loss: 50.13, Std Loss: 50.13, Mean Reward: -1.26, Median Reward: 0.70, Std Reward: -63.00
Episode: 14, step: 9, Pop: 8/5, Epsilon: 0.95, Mean Loss: 40.67, Median Loss: 40.67, Std Loss: 40.67, Mean Reward: -0.88, Median Reward: 0.95, Std Reward: -44.00
Episode: 15, step: 9, Pop: 7/5, Epsilon: 0.94, Mean Loss: 45.76, Median Loss: 45.76, Std Loss: 45.76, Mean Reward: -1.21, Median Reward: 0.95, Std Reward: -60.50
Episode: 16, step: 9, Pop: 7/5, Epsilon: 0.94, Mean Loss: 58.92, Median Loss: 58.92, Std Loss: 58.92, Mean Reward: -0.87, Median Reward: 0.45, Std Reward: -43.70
Episode: 17, step: 9, Pop: 8/5, Epsilon: 0.94, Mean Loss: 65.28, Median Loss: 65.28, Std Loss: 65.28, Mean Reward: -1.48, Median Reward: 0.45, Std Reward: -74.00
Episode: 18, step: 9, Pop: 7/5, Epsilon: 0.93, Mean Loss: 47.69, Median Loss: 47.69, Std Loss: 47.69, Mean Reward: -0.06, Median Reward: 0.95, Std Reward: -3.00
Episode: 19, step: 9, Pop: 8/5, Epsilon: 0.93, Mean Loss: 64.86, Median Loss: 64.86, Std Loss: 64.86, Mean Reward: -1.32, Median Reward: 0.95, Std Reward: -66.00
Episode: 20, step: 9, Pop: 4/5, Epsilon: 0.93, Mean Loss: 30.76, Median Loss: 30.76, Std Loss: 30.76, Mean Reward: -0.11, Median Reward: 0.45, Std Reward: -5.70
Episode: 21, step: 9, Pop: 5/5, Epsilon: 0.92, Mean Loss: 37.44, Median Loss: 37.44, Std Loss: 37.44, Mean Reward: 0.56, Median Reward: 0.95, Std Reward: 28.00
