Episode: 0, step: 9, Pop: 8/5, Epsilon: 1.00, Mean Loss: 55.19, Median Loss: 55.19, Std Loss: 55.19, Mean Reward: 0.26, Median Reward: 2.00, Std Reward: 21.70
Episode: 1, step: 9, Pop: 9/5, Epsilon: 1.00, Mean Loss: 31.12, Median Loss: 31.12, Std Loss: 31.12, Mean Reward: -0.81, Median Reward: 2.00, Std Reward: -79.30
Episode: 2, step: 9, Pop: 4/5, Epsilon: 0.99, Mean Loss: 76.50, Median Loss: 76.50, Std Loss: 76.50, Mean Reward: -0.24, Median Reward: 0.00, Std Reward: -14.40
Episode: 3, step: 9, Pop: 6/5, Epsilon: 0.99, Mean Loss: 55.15, Median Loss: 55.15, Std Loss: 55.15, Mean Reward: -0.59, Median Reward: 0.00, Std Reward: -43.40
Episode: 4, step: 9, Pop: 10/5, Epsilon: 0.98, Mean Loss: 46.11, Median Loss: 46.11, Std Loss: 46.11, Mean Reward: 0.53, Median Reward: 2.00, Std Reward: 52.50
Episode: 5, step: 9, Pop: 10/5, Epsilon: 0.98, Mean Loss: 53.27, Median Loss: 53.27, Std Loss: 53.27, Mean Reward: 0.90, Median Reward: 1.00, Std Reward: 89.60
Episode: 6, step: 9, Pop: 5/5, Epsilon: 0.98, Mean Loss: 52.45, Median Loss: 52.45, Std Loss: 52.45, Mean Reward: -3.49, Median Reward: 0.00, Std Reward: -234.00
Episode: 7, step: 9, Pop: 9/5, Epsilon: 0.97, Mean Loss: 53.11, Median Loss: 53.11, Std Loss: 53.11, Mean Reward: 1.32, Median Reward: 2.00, Std Reward: 129.30
Episode: 8, step: 9, Pop: 8/5, Epsilon: 0.97, Mean Loss: 56.84, Median Loss: 56.84, Std Loss: 56.84, Mean Reward: 0.65, Median Reward: 2.00, Std Reward: 52.90
Episode: 9, step: 9, Pop: 8/5, Epsilon: 0.97, Mean Loss: 77.24, Median Loss: 77.24, Std Loss: 77.24, Mean Reward: -1.18, Median Reward: -5.00, Std Reward: -100.70
Episode: 10, step: 9, Pop: 7/5, Epsilon: 0.96, Mean Loss: 67.39, Median Loss: 67.39, Std Loss: 67.39, Mean Reward: -0.19, Median Reward: 0.00, Std Reward: -16.20
Episode: 11, step: 9, Pop: 9/5, Epsilon: 0.96, Mean Loss: 74.11, Median Loss: 74.11, Std Loss: 74.11, Mean Reward: 0.94, Median Reward: 0.00, Std Reward: 89.20
Episode: 12, step: 9, Pop: 8/5, Epsilon: 0.96, Mean Loss: 38.97, Median Loss: 38.97, Std Loss: 38.97, Mean Reward: -1.83, Median Reward: 0.00, Std Reward: -181.50
Episode: 13, step: 9, Pop: 6/5, Epsilon: 0.95, Mean Loss: 68.92, Median Loss: 68.92, Std Loss: 68.92, Mean Reward: -1.95, Median Reward: 0.00, Std Reward: -148.50
Episode: 14, step: 9, Pop: 8/5, Epsilon: 0.95, Mean Loss: 78.50, Median Loss: 78.50, Std Loss: 78.50, Mean Reward: -1.29, Median Reward: 0.00, Std Reward: -124.20
Episode: 15, step: 9, Pop: 7/5, Epsilon: 0.94, Mean Loss: 39.22, Median Loss: 39.22, Std Loss: 39.22, Mean Reward: -1.70, Median Reward: 0.00, Std Reward: -127.40
Episode: 16, step: 9, Pop: 7/5, Epsilon: 0.94, Mean Loss: 74.74, Median Loss: 74.74, Std Loss: 74.74, Mean Reward: -0.23, Median Reward: 0.00, Std Reward: -19.20
Episode: 17, step: 9, Pop: 8/5, Epsilon: 0.94, Mean Loss: 59.98, Median Loss: 59.98, Std Loss: 59.98, Mean Reward: 1.00, Median Reward: 2.00, Std Reward: 80.20
Episode: 18, step: 9, Pop: 7/5, Epsilon: 0.93, Mean Loss: 56.77, Median Loss: 56.77, Std Loss: 56.77, Mean Reward: -0.04, Median Reward: 0.00, Std Reward: -3.80
Episode: 19, step: 9, Pop: 8/5, Epsilon: 0.93, Mean Loss: 57.94, Median Loss: 57.94, Std Loss: 57.94, Mean Reward: 0.79, Median Reward: 1.00, Std Reward: 64.70
Episode: 20, step: 9, Pop: 4/5, Epsilon: 0.93, Mean Loss: 43.23, Median Loss: 43.23, Std Loss: 43.23, Mean Reward: -2.47, Median Reward: 0.00, Std Reward: -126.00
Episode: 21, step: 9, Pop: 5/5, Epsilon: 0.92, Mean Loss: 57.13, Median Loss: 57.13, Std Loss: 57.13, Mean Reward: -1.26, Median Reward: 0.00, Std Reward: -104.20
Episode: 22, step: 9, Pop: 8/5, Epsilon: 0.92, Mean Loss: 73.18, Median Loss: 73.18, Std Loss: 73.18, Mean Reward: 0.54, Median Reward: 2.00, Std Reward: 45.70
Episode: 23, step: 9, Pop: 7/5, Epsilon: 0.92, Mean Loss: 84.69, Median Loss: 84.69, Std Loss: 84.69, Mean Reward: -2.35, Median Reward: -5.10, Std Reward: -185.70
