Episode: 0, step: 9, Pop: 6/5, Epsilon: 1.00, Mean Loss: 0.00, Median Loss: 0.00, Std Loss: 0.00, Mean Reward: 0.20, Median Reward: 0.95, Std Reward: 10.20
Episode: 1, step: 9, Pop: 7/5, Epsilon: 1.00, Mean Loss: 56.38, Median Loss: 56.38, Std Loss: 56.38, Mean Reward: -2.14, Median Reward: 0.45, Std Reward: -107.00
Episode: 2, step: 9, Pop: 8/5, Epsilon: 0.99, Mean Loss: 48.02, Median Loss: 48.02, Std Loss: 48.02, Mean Reward: -2.14, Median Reward: -0.05, Std Reward: -107.00
Episode: 3, step: 9, Pop: 6/5, Epsilon: 0.99, Mean Loss: 51.85, Median Loss: 51.85, Std Loss: 51.85, Mean Reward: 1.28, Median Reward: 0.95, Std Reward: 64.00
Episode: 4, step: 9, Pop: 8/5, Epsilon: 0.98, Mean Loss: 48.96, Median Loss: 48.96, Std Loss: 48.96, Mean Reward: -1.04, Median Reward: 0.95, Std Reward: -52.20
Episode: 5, step: 9, Pop: 8/5, Epsilon: 0.98, Mean Loss: 47.51, Median Loss: 47.51, Std Loss: 47.51, Mean Reward: -0.93, Median Reward: 0.95, Std Reward: -46.50
Episode: 6, step: 9, Pop: 9/5, Epsilon: 0.98, Mean Loss: 66.18, Median Loss: 66.18, Std Loss: 66.18, Mean Reward: -1.59, Median Reward: 0.70, Std Reward: -79.50
Episode: 7, step: 9, Pop: 9/5, Epsilon: 0.97, Mean Loss: 67.87, Median Loss: 67.87, Std Loss: 67.87, Mean Reward: -2.07, Median Reward: 0.95, Std Reward: -103.50
Episode: 8, step: 9, Pop: 5/5, Epsilon: 0.97, Mean Loss: 56.56, Median Loss: 56.56, Std Loss: 56.56, Mean Reward: 0.49, Median Reward: 0.95, Std Reward: 24.50
Episode: 9, step: 9, Pop: 8/5, Epsilon: 0.97, Mean Loss: 52.07, Median Loss: 52.07, Std Loss: 52.07, Mean Reward: -2.21, Median Reward: 0.45, Std Reward: -110.30
Episode: 10, step: 9, Pop: 8/5, Epsilon: 0.96, Mean Loss: 30.38, Median Loss: 30.38, Std Loss: 30.38, Mean Reward: -3.08, Median Reward: -0.05, Std Reward: -154.20
Episode: 11, step: 9, Pop: 9/5, Epsilon: 0.96, Mean Loss: 49.39, Median Loss: 49.39, Std Loss: 49.39, Mean Reward: -4.23, Median Reward: -8.05, Std Reward: -211.30
Episode: 12, step: 9, Pop: 6/5, Epsilon: 0.96, Mean Loss: 73.40, Median Loss: 73.40, Std Loss: 73.40, Mean Reward: -0.44, Median Reward: 0.45, Std Reward: -22.00
Episode: 13, step: 9, Pop: 7/5, Epsilon: 0.95, Mean Loss: 41.44, Median Loss: 41.44, Std Loss: 41.44, Mean Reward: -1.21, Median Reward: 0.95, Std Reward: -60.50
