Episode: 0, step: 9, Pop: 6/5, Epsilon: 1.00, Mean Loss: 72.56, Median Loss: 72.56, Std Loss: 72.56, Mean Reward: 0.91, Median Reward: 2.00, Std Reward: 65.30
Episode: 1, step: 9, Pop: 7/5, Epsilon: 1.00, Mean Loss: 77.90, Median Loss: 77.90, Std Loss: 77.90, Mean Reward: -2.19, Median Reward: -2.50, Std Reward: -179.30
Episode: 2, step: 9, Pop: 8/5, Epsilon: 0.99, Mean Loss: 77.69, Median Loss: 77.69, Std Loss: 77.69, Mean Reward: -0.25, Median Reward: -2.50, Std Reward: -22.90
Episode: 3, step: 9, Pop: 6/5, Epsilon: 0.99, Mean Loss: 66.37, Median Loss: 66.37, Std Loss: 66.37, Mean Reward: -0.79, Median Reward: 0.00, Std Reward: -56.10
Episode: 4, step: 9, Pop: 8/5, Epsilon: 0.98, Mean Loss: 55.98, Median Loss: 55.98, Std Loss: 55.98, Mean Reward: -0.24, Median Reward: 2.00, Std Reward: -21.30
Episode: 5, step: 9, Pop: 8/5, Epsilon: 0.98, Mean Loss: 51.46, Median Loss: 51.46, Std Loss: 51.46, Mean Reward: -0.86, Median Reward: 0.00, Std Reward: -83.60
Episode: 6, step: 9, Pop: 9/5, Epsilon: 0.98, Mean Loss: 38.29, Median Loss: 38.29, Std Loss: 38.29, Mean Reward: -0.77, Median Reward: 0.00, Std Reward: -71.30
Episode: 7, step: 9, Pop: 9/5, Epsilon: 0.97, Mean Loss: 64.55, Median Loss: 64.55, Std Loss: 64.55, Mean Reward: -1.86, Median Reward: 0.00, Std Reward: -169.10
Episode: 8, step: 9, Pop: 5/5, Epsilon: 0.97, Mean Loss: 36.12, Median Loss: 36.12, Std Loss: 36.12, Mean Reward: -1.10, Median Reward: 0.00, Std Reward: -84.40
Episode: 9, step: 9, Pop: 8/5, Epsilon: 0.97, Mean Loss: 49.67, Median Loss: 49.67, Std Loss: 49.67, Mean Reward: 0.47, Median Reward: 2.00, Std Reward: 43.50
Episode: 10, step: 9, Pop: 8/5, Epsilon: 0.96, Mean Loss: 61.59, Median Loss: 61.59, Std Loss: 61.59, Mean Reward: 2.62, Median Reward: 3.00, Std Reward: 220.10
Episode: 11, step: 9, Pop: 9/5, Epsilon: 0.96, Mean Loss: 62.78, Median Loss: 62.78, Std Loss: 62.78, Mean Reward: -0.94, Median Reward: 0.00, Std Reward: -93.10
Episode: 12, step: 9, Pop: 6/5, Epsilon: 0.96, Mean Loss: 52.59, Median Loss: 52.59, Std Loss: 52.59, Mean Reward: -1.18, Median Reward: 0.00, Std Reward: -86.50
Episode: 13, step: 9, Pop: 7/5, Epsilon: 0.95, Mean Loss: 46.92, Median Loss: 46.92, Std Loss: 46.92, Mean Reward: -0.87, Median Reward: 0.00, Std Reward: -81.00
Episode: 14, step: 9, Pop: 9/5, Epsilon: 0.95, Mean Loss: 62.67, Median Loss: 62.67, Std Loss: 62.67, Mean Reward: 0.52, Median Reward: 0.00, Std Reward: 50.50
Episode: 15, step: 9, Pop: 8/5, Epsilon: 0.94, Mean Loss: 46.27, Median Loss: 46.27, Std Loss: 46.27, Mean Reward: 0.14, Median Reward: 1.00, Std Reward: 11.80
Episode: 16, step: 9, Pop: 9/5, Epsilon: 0.94, Mean Loss: 37.60, Median Loss: 37.60, Std Loss: 37.60, Mean Reward: 1.09, Median Reward: 2.00, Std Reward: 103.80
Episode: 17, step: 9, Pop: 8/5, Epsilon: 0.94, Mean Loss: 70.85, Median Loss: 70.85, Std Loss: 70.85, Mean Reward: -0.10, Median Reward: 0.00, Std Reward: -9.50
Episode: 18, step: 9, Pop: 7/5, Epsilon: 0.93, Mean Loss: 44.92, Median Loss: 44.92, Std Loss: 44.92, Mean Reward: -0.33, Median Reward: 0.00, Std Reward: -25.70
Episode: 19, step: 9, Pop: 10/5, Epsilon: 0.93, Mean Loss: 63.41, Median Loss: 63.41, Std Loss: 63.41, Mean Reward: -1.29, Median Reward: 2.00, Std Reward: -129.10
Episode: 20, step: 9, Pop: 7/5, Epsilon: 0.93, Mean Loss: 41.25, Median Loss: 41.25, Std Loss: 41.25, Mean Reward: 0.16, Median Reward: 0.00, Std Reward: 13.10
Episode: 21, step: 9, Pop: 7/5, Epsilon: 0.92, Mean Loss: 69.74, Median Loss: 69.74, Std Loss: 69.74, Mean Reward: -1.66, Median Reward: 0.00, Std Reward: -138.10
Episode: 22, step: 9, Pop: 8/5, Epsilon: 0.92, Mean Loss: 41.79, Median Loss: 41.79, Std Loss: 41.79, Mean Reward: -1.40, Median Reward: 0.00, Std Reward: -118.00
Episode: 23, step: 9, Pop: 9/5, Epsilon: 0.92, Mean Loss: 54.40, Median Loss: 54.40, Std Loss: 54.40, Mean Reward: 0.51, Median Reward: 2.00, Std Reward: 48.80
Episode: 24, step: 9, Pop: 5/5, Epsilon: 0.91, Mean Loss: 88.39, Median Loss: 88.39, Std Loss: 88.39, Mean Reward: -1.25, Median Reward: 0.00, Std Reward: -90.10
Episode: 25, step: 9, Pop: 6/5, Epsilon: 0.91, Mean Loss: 55.36, Median Loss: 55.36, Std Loss: 55.36, Mean Reward: -0.19, Median Reward: 0.00, Std Reward: -14.80
Episode: 26, step: 9, Pop: 6/5, Epsilon: 0.91, Mean Loss: 52.37, Median Loss: 52.37, Std Loss: 52.37, Mean Reward: -0.54, Median Reward: 0.00, Std Reward: -41.50
Episode: 27, step: 9, Pop: 3/5, Epsilon: 0.90, Mean Loss: 73.06, Median Loss: 73.06, Std Loss: 73.06, Mean Reward: -0.97, Median Reward: 1.00, Std Reward: -60.00
Episode: 28, step: 9, Pop: 5/5, Epsilon: 0.90, Mean Loss: 55.95, Median Loss: 55.95, Std Loss: 55.95, Mean Reward: -1.44, Median Reward: 0.00, Std Reward: -105.00
Episode: 29, step: 9, Pop: 8/5, Epsilon: 0.90, Mean Loss: 51.39, Median Loss: 51.39, Std Loss: 51.39, Mean Reward: 0.40, Median Reward: 2.00, Std Reward: 32.50
Episode: 30, step: 9, Pop: 8/5, Epsilon: 0.89, Mean Loss: 47.80, Median Loss: 47.80, Std Loss: 47.80, Mean Reward: -0.32, Median Reward: 0.00, Std Reward: -28.70
Episode: 31, step: 9, Pop: 7/5, Epsilon: 0.89, Mean Loss: 57.39, Median Loss: 57.39, Std Loss: 57.39, Mean Reward: -0.46, Median Reward: 2.00, Std Reward: -41.30
Episode: 32, step: 9, Pop: 6/5, Epsilon: 0.89, Mean Loss: 65.00, Median Loss: 65.00, Std Loss: 65.00, Mean Reward: -1.52, Median Reward: 0.00, Std Reward: -117.40
Episode: 33, step: 9, Pop: 5/5, Epsilon: 0.88, Mean Loss: 66.33, Median Loss: 66.33, Std Loss: 66.33, Mean Reward: -0.35, Median Reward: 0.00, Std Reward: -25.10
Episode: 34, step: 9, Pop: 8/5, Epsilon: 0.88, Mean Loss: 41.99, Median Loss: 41.99, Std Loss: 41.99, Mean Reward: -0.31, Median Reward: 0.00, Std Reward: -29.80
Episode: 35, step: 9, Pop: 7/5, Epsilon: 0.88, Mean Loss: 56.23, Median Loss: 56.23, Std Loss: 56.23, Mean Reward: -0.69, Median Reward: 0.00, Std Reward: -54.20
