Episode: 0, step: 9, Pop: 7/5, Epsilon: 1.00, Mean Loss: 57.03, Median Loss: 57.03, Std Loss: 57.03, Mean Reward: -0.53, Median Reward: 0.45, Std Reward: -26.70
Episode: 1, step: 9, Pop: 6/5, Epsilon: 0.99, Mean Loss: 28.66, Median Loss: 28.66, Std Loss: 28.66, Mean Reward: -0.36, Median Reward: 0.95, Std Reward: -18.00
Episode: 2, step: 9, Pop: 6/5, Epsilon: 0.99, Mean Loss: 35.07, Median Loss: 35.07, Std Loss: 35.07, Mean Reward: -0.99, Median Reward: 0.95, Std Reward: -49.50
Episode: 3, step: 9, Pop: 10/5, Epsilon: 0.99, Mean Loss: 37.34, Median Loss: 37.34, Std Loss: 37.34, Mean Reward: -3.12, Median Reward: 0.45, Std Reward: -156.00
Episode: 4, step: 9, Pop: 6/5, Epsilon: 0.98, Mean Loss: 37.57, Median Loss: 37.57, Std Loss: 37.57, Mean Reward: -0.63, Median Reward: 0.95, Std Reward: -31.50
Episode: 5, step: 9, Pop: 8/5, Epsilon: 0.98, Mean Loss: 29.28, Median Loss: 29.28, Std Loss: 29.28, Mean Reward: -0.45, Median Reward: 0.95, Std Reward: -22.50
Episode: 6, step: 9, Pop: 8/5, Epsilon: 0.97, Mean Loss: 34.77, Median Loss: 34.77, Std Loss: 34.77, Mean Reward: -2.74, Median Reward: 0.45, Std Reward: -136.80
Episode: 7, step: 9, Pop: 6/5, Epsilon: 0.97, Mean Loss: 50.06, Median Loss: 50.06, Std Loss: 50.06, Mean Reward: -0.29, Median Reward: 0.95, Std Reward: -14.50
Episode: 8, step: 9, Pop: 6/5, Epsilon: 0.97, Mean Loss: 48.86, Median Loss: 48.86, Std Loss: 48.86, Mean Reward: 0.27, Median Reward: 0.95, Std Reward: 13.50
Episode: 9, step: 9, Pop: 7/5, Epsilon: 0.96, Mean Loss: 78.68, Median Loss: 78.68, Std Loss: 78.68, Mean Reward: -1.22, Median Reward: 0.70, Std Reward: -61.00
Episode: 10, step: 9, Pop: 6/5, Epsilon: 0.96, Mean Loss: 70.64, Median Loss: 70.64, Std Loss: 70.64, Mean Reward: -1.02, Median Reward: 0.45, Std Reward: -51.20
Episode: 11, step: 9, Pop: 7/5, Epsilon: 0.95, Mean Loss: 22.24, Median Loss: 22.24, Std Loss: 22.24, Mean Reward: -2.31, Median Reward: 0.45, Std Reward: -115.50
Episode: 12, step: 9, Pop: 6/5, Epsilon: 0.95, Mean Loss: 30.91, Median Loss: 30.91, Std Loss: 30.91, Mean Reward: -3.13, Median Reward: -8.05, Std Reward: -156.40
Episode: 13, step: 9, Pop: 9/5, Epsilon: 0.94, Mean Loss: 41.63, Median Loss: 41.63, Std Loss: 41.63, Mean Reward: -1.95, Median Reward: 0.95, Std Reward: -97.50
Episode: 14, step: 9, Pop: 6/5, Epsilon: 0.94, Mean Loss: 50.55, Median Loss: 50.55, Std Loss: 50.55, Mean Reward: -1.14, Median Reward: 0.95, Std Reward: -57.00
Episode: 15, step: 9, Pop: 8/5, Epsilon: 0.94, Mean Loss: 35.80, Median Loss: 35.80, Std Loss: 35.80, Mean Reward: -0.56, Median Reward: 0.95, Std Reward: -28.00
Episode: 16, step: 9, Pop: 8/5, Epsilon: 0.93, Mean Loss: 51.36, Median Loss: 51.36, Std Loss: 51.36, Mean Reward: -2.35, Median Reward: 0.45, Std Reward: -117.60
Episode: 17, step: 9, Pop: 6/5, Epsilon: 0.93, Mean Loss: 26.66, Median Loss: 26.66, Std Loss: 26.66, Mean Reward: -0.38, Median Reward: 0.95, Std Reward: -18.80
Episode: 18, step: 9, Pop: 7/5, Epsilon: 0.92, Mean Loss: 32.94, Median Loss: 32.94, Std Loss: 32.94, Mean Reward: -1.78, Median Reward: 0.45, Std Reward: -89.20
Episode: 19, step: 9, Pop: 7/5, Epsilon: 0.92, Mean Loss: 46.66, Median Loss: 46.66, Std Loss: 46.66, Mean Reward: -1.72, Median Reward: 0.95, Std Reward: -86.00
Episode: 20, step: 9, Pop: 8/5, Epsilon: 0.92, Mean Loss: 32.71, Median Loss: 32.71, Std Loss: 32.71, Mean Reward: -1.88, Median Reward: 0.95, Std Reward: -94.00
Episode: 21, step: 9, Pop: 6/5, Epsilon: 0.91, Mean Loss: 35.62, Median Loss: 35.62, Std Loss: 35.62, Mean Reward: 0.13, Median Reward: 0.95, Std Reward: 6.50
Episode: 22, step: 9, Pop: 9/5, Epsilon: 0.91, Mean Loss: 43.61, Median Loss: 43.61, Std Loss: 43.61, Mean Reward: -1.54, Median Reward: 0.95, Std Reward: -77.00
Episode: 23, step: 9, Pop: 6/5, Epsilon: 0.91, Mean Loss: 34.64, Median Loss: 34.64, Std Loss: 34.64, Mean Reward: -2.90, Median Reward: -8.05, Std Reward: -145.00
Episode: 24, step: 9, Pop: 5/5, Epsilon: 0.90, Mean Loss: 36.15, Median Loss: 36.15, Std Loss: 36.15, Mean Reward: 0.05, Median Reward: 0.95, Std Reward: 2.50
Episode: 25, step: 9, Pop: 7/5, Epsilon: 0.90, Mean Loss: 54.33, Median Loss: 54.33, Std Loss: 54.33, Mean Reward: -1.97, Median Reward: 0.45, Std Reward: -98.50
Episode: 26, step: 9, Pop: 7/5, Epsilon: 0.89, Mean Loss: 53.97, Median Loss: 53.97, Std Loss: 53.97, Mean Reward: -0.21, Median Reward: 0.95, Std Reward: -10.50
Episode: 27, step: 9, Pop: 7/5, Epsilon: 0.89, Mean Loss: 44.19, Median Loss: 44.19, Std Loss: 44.19, Mean Reward: -1.77, Median Reward: 0.45, Std Reward: -88.70
Episode: 28, step: 9, Pop: 8/5, Epsilon: 0.89, Mean Loss: 24.91, Median Loss: 24.91, Std Loss: 24.91, Mean Reward: -0.57, Median Reward: 0.95, Std Reward: -28.70
Episode: 29, step: 9, Pop: 7/5, Epsilon: 0.88, Mean Loss: 31.10, Median Loss: 31.10, Std Loss: 31.10, Mean Reward: -0.66, Median Reward: 0.95, Std Reward: -33.20
Episode: 30, step: 9, Pop: 7/5, Epsilon: 0.88, Mean Loss: 44.41, Median Loss: 44.41, Std Loss: 44.41, Mean Reward: -0.40, Median Reward: 0.70, Std Reward: -20.00
Episode: 31, step: 9, Pop: 7/5, Epsilon: 0.88, Mean Loss: 35.11, Median Loss: 35.11, Std Loss: 35.11, Mean Reward: -2.06, Median Reward: 0.45, Std Reward: -103.10
Episode: 32, step: 9, Pop: 9/5, Epsilon: 0.87, Mean Loss: 33.50, Median Loss: 33.50, Std Loss: 33.50, Mean Reward: -2.90, Median Reward: 0.45, Std Reward: -145.00
Episode: 33, step: 9, Pop: 9/5, Epsilon: 0.87, Mean Loss: 19.09, Median Loss: 19.09, Std Loss: 19.09, Mean Reward: -1.43, Median Reward: 0.95, Std Reward: -71.50
Episode: 34, step: 9, Pop: 7/5, Epsilon: 0.86, Mean Loss: 42.07, Median Loss: 42.07, Std Loss: 42.07, Mean Reward: -0.91, Median Reward: 0.95, Std Reward: -45.30
Episode: 35, step: 9, Pop: 7/5, Epsilon: 0.86, Mean Loss: 24.89, Median Loss: 24.89, Std Loss: 24.89, Mean Reward: -1.05, Median Reward: 0.95, Std Reward: -52.50
Episode: 36, step: 9, Pop: 6/5, Epsilon: 0.86, Mean Loss: 52.45, Median Loss: 52.45, Std Loss: 52.45, Mean Reward: 0.31, Median Reward: 0.95, Std Reward: 15.50
Episode: 37, step: 9, Pop: 9/5, Epsilon: 0.85, Mean Loss: 27.31, Median Loss: 27.31, Std Loss: 27.31, Mean Reward: -0.66, Median Reward: 0.95, Std Reward: -33.00
Episode: 38, step: 9, Pop: 9/5, Epsilon: 0.85, Mean Loss: 33.74, Median Loss: 33.74, Std Loss: 33.74, Mean Reward: -2.47, Median Reward: 0.95, Std Reward: -123.50
Episode: 39, step: 9, Pop: 8/5, Epsilon: 0.84, Mean Loss: 46.15, Median Loss: 46.15, Std Loss: 46.15, Mean Reward: -1.64, Median Reward: 0.45, Std Reward: -82.00
Episode: 40, step: 9, Pop: 7/5, Epsilon: 0.84, Mean Loss: 36.81, Median Loss: 36.81, Std Loss: 36.81, Mean Reward: -0.44, Median Reward: 0.45, Std Reward: -22.10
Episode: 41, step: 9, Pop: 8/5, Epsilon: 0.84, Mean Loss: 18.63, Median Loss: 18.63, Std Loss: 18.63, Mean Reward: -1.62, Median Reward: 0.95, Std Reward: -81.00
Episode: 42, step: 9, Pop: 8/5, Epsilon: 0.83, Mean Loss: 27.55, Median Loss: 27.55, Std Loss: 27.55, Mean Reward: -1.91, Median Reward: 0.45, Std Reward: -95.50
Episode: 43, step: 9, Pop: 7/5, Epsilon: 0.83, Mean Loss: 36.71, Median Loss: 36.71, Std Loss: 36.71, Mean Reward: -1.19, Median Reward: 0.95, Std Reward: -59.50
Episode: 44, step: 9, Pop: 6/5, Epsilon: 0.83, Mean Loss: 36.22, Median Loss: 36.22, Std Loss: 36.22, Mean Reward: 0.38, Median Reward: 0.45, Std Reward: 19.10
Episode: 45, step: 9, Pop: 7/5, Epsilon: 0.82, Mean Loss: 31.21, Median Loss: 31.21, Std Loss: 31.21, Mean Reward: -0.45, Median Reward: 0.95, Std Reward: -22.50
Episode: 46, step: 9, Pop: 7/5, Epsilon: 0.82, Mean Loss: 27.76, Median Loss: 27.76, Std Loss: 27.76, Mean Reward: -1.15, Median Reward: 0.95, Std Reward: -57.50
Episode: 47, step: 9, Pop: 7/5, Epsilon: 0.82, Mean Loss: 13.35, Median Loss: 13.35, Std Loss: 13.35, Mean Reward: -0.74, Median Reward: 0.95, Std Reward: -37.20
Episode: 48, step: 9, Pop: 7/5, Epsilon: 0.81, Mean Loss: 23.89, Median Loss: 23.89, Std Loss: 23.89, Mean Reward: -1.08, Median Reward: 0.45, Std Reward: -54.20
Episode: 49, step: 9, Pop: 6/5, Epsilon: 0.81, Mean Loss: 32.64, Median Loss: 32.64, Std Loss: 32.64, Mean Reward: 0.73, Median Reward: 0.95, Std Reward: 36.50
Episode: 50, step: 9, Pop: 7/5, Epsilon: 0.80, Mean Loss: 25.74, Median Loss: 25.74, Std Loss: 25.74, Mean Reward: -0.05, Median Reward: 0.95, Std Reward: -2.40
Episode: 51, step: 9, Pop: 5/5, Epsilon: 0.80, Mean Loss: 32.78, Median Loss: 32.78, Std Loss: 32.78, Mean Reward: 0.36, Median Reward: 0.45, Std Reward: 18.00
Episode: 52, step: 9, Pop: 7/5, Epsilon: 0.80, Mean Loss: 42.74, Median Loss: 42.74, Std Loss: 42.74, Mean Reward: 0.03, Median Reward: 0.95, Std Reward: 1.30
Episode: 53, step: 9, Pop: 7/5, Epsilon: 0.80, Mean Loss: 31.55, Median Loss: 31.55, Std Loss: 31.55, Mean Reward: -0.87, Median Reward: 0.70, Std Reward: -43.50
Episode: 54, step: 9, Pop: 8/5, Epsilon: 0.79, Mean Loss: 43.76, Median Loss: 43.76, Std Loss: 43.76, Mean Reward: -1.34, Median Reward: 0.95, Std Reward: -67.00
Episode: 55, step: 9, Pop: 9/5, Epsilon: 0.79, Mean Loss: 24.57, Median Loss: 24.57, Std Loss: 24.57, Mean Reward: -2.82, Median Reward: 0.45, Std Reward: -141.00
Episode: 56, step: 9, Pop: 6/5, Epsilon: 0.78, Mean Loss: 37.67, Median Loss: 37.67, Std Loss: 37.67, Mean Reward: 0.58, Median Reward: 1.45, Std Reward: 29.00
Episode: 57, step: 9, Pop: 7/5, Epsilon: 0.78, Mean Loss: 30.15, Median Loss: 30.15, Std Loss: 30.15, Mean Reward: 0.26, Median Reward: 0.95, Std Reward: 13.00
Episode: 58, step: 9, Pop: 5/5, Epsilon: 0.78, Mean Loss: 25.52, Median Loss: 25.52, Std Loss: 25.52, Mean Reward: 0.28, Median Reward: 0.95, Std Reward: 14.10
Episode: 59, step: 9, Pop: 6/5, Epsilon: 0.77, Mean Loss: 31.18, Median Loss: 31.18, Std Loss: 31.18, Mean Reward: 0.11, Median Reward: 0.95, Std Reward: 5.50
Episode: 60, step: 9, Pop: 7/5, Epsilon: 0.77, Mean Loss: 28.51, Median Loss: 28.51, Std Loss: 28.51, Mean Reward: -2.04, Median Reward: 0.10, Std Reward: -102.20
Episode: 61, step: 9, Pop: 8/5, Epsilon: 0.77, Mean Loss: 32.48, Median Loss: 32.48, Std Loss: 32.48, Mean Reward: -2.14, Median Reward: 0.45, Std Reward: -106.80
Episode: 62, step: 9, Pop: 8/5, Epsilon: 0.76, Mean Loss: 21.77, Median Loss: 21.77, Std Loss: 21.77, Mean Reward: 0.01, Median Reward: 0.95, Std Reward: 0.50
Episode: 63, step: 9, Pop: 7/5, Epsilon: 0.76, Mean Loss: 22.81, Median Loss: 22.81, Std Loss: 22.81, Mean Reward: -1.34, Median Reward: 0.95, Std Reward: -67.00
Episode: 64, step: 9, Pop: 8/5, Epsilon: 0.76, Mean Loss: 29.23, Median Loss: 29.23, Std Loss: 29.23, Mean Reward: -2.55, Median Reward: 0.70, Std Reward: -127.50
Episode: 65, step: 9, Pop: 4/5, Epsilon: 0.75, Mean Loss: 23.95, Median Loss: 23.95, Std Loss: 23.95, Mean Reward: -0.37, Median Reward: 0.70, Std Reward: -18.50
Episode: 66, step: 9, Pop: 5/5, Epsilon: 0.75, Mean Loss: 32.91, Median Loss: 32.91, Std Loss: 32.91, Mean Reward: -0.56, Median Reward: 0.45, Std Reward: -28.20
Episode: 67, step: 9, Pop: 9/5, Epsilon: 0.75, Mean Loss: 38.95, Median Loss: 38.95, Std Loss: 38.95, Mean Reward: -2.04, Median Reward: 0.45, Std Reward: -102.10
Episode: 68, step: 9, Pop: 5/5, Epsilon: 0.75, Mean Loss: 33.63, Median Loss: 33.63, Std Loss: 33.63, Mean Reward: 1.02, Median Reward: 0.70, Std Reward: 51.10
Episode: 69, step: 9, Pop: 8/5, Epsilon: 0.74, Mean Loss: 29.48, Median Loss: 29.48, Std Loss: 29.48, Mean Reward: -0.02, Median Reward: 0.95, Std Reward: -1.00
Episode: 70, step: 9, Pop: 10/5, Epsilon: 0.74, Mean Loss: 20.59, Median Loss: 20.59, Std Loss: 20.59, Mean Reward: -2.41, Median Reward: 0.45, Std Reward: -120.60
Episode: 71, step: 9, Pop: 6/5, Epsilon: 0.73, Mean Loss: 24.82, Median Loss: 24.82, Std Loss: 24.82, Mean Reward: 0.28, Median Reward: 0.95, Std Reward: 13.80
Episode: 72, step: 9, Pop: 8/5, Epsilon: 0.73, Mean Loss: 18.58, Median Loss: 18.58, Std Loss: 18.58, Mean Reward: -0.55, Median Reward: 1.45, Std Reward: -27.50
Episode: 73, step: 9, Pop: 10/5, Epsilon: 0.73, Mean Loss: 18.45, Median Loss: 18.45, Std Loss: 18.45, Mean Reward: -1.39, Median Reward: 0.95, Std Reward: -69.50
