Episode: 0, step: 9, Pop: 7/5, Epsilon: 1.00, Mean Loss: 76.03, Median Loss: 76.03, Std Loss: 76.03, Mean Reward: -0.30, Median Reward: 0.00, Std Reward: -28.60
Episode: 1, step: 9, Pop: 8/5, Epsilon: 0.99, Mean Loss: 27.57, Median Loss: 27.57, Std Loss: 27.57, Mean Reward: 0.97, Median Reward: 2.00, Std Reward: 83.00
Episode: 2, step: 9, Pop: 8/5, Epsilon: 0.99, Mean Loss: 42.98, Median Loss: 42.98, Std Loss: 42.98, Mean Reward: -0.91, Median Reward: 0.00, Std Reward: -77.60
Episode: 3, step: 9, Pop: 9/5, Epsilon: 0.99, Mean Loss: 63.05, Median Loss: 63.05, Std Loss: 63.05, Mean Reward: 1.73, Median Reward: 1.00, Std Reward: 166.10
Episode: 4, step: 9, Pop: 8/5, Epsilon: 0.98, Mean Loss: 66.39, Median Loss: 66.39, Std Loss: 66.39, Mean Reward: -0.28, Median Reward: 0.00, Std Reward: -26.70
Episode: 5, step: 9, Pop: 8/5, Epsilon: 0.98, Mean Loss: 51.65, Median Loss: 51.65, Std Loss: 51.65, Mean Reward: -0.24, Median Reward: 0.00, Std Reward: -20.80
Episode: 6, step: 9, Pop: 8/5, Epsilon: 0.97, Mean Loss: 36.47, Median Loss: 36.47, Std Loss: 36.47, Mean Reward: -1.37, Median Reward: 0.00, Std Reward: -123.20
Episode: 7, step: 9, Pop: 6/5, Epsilon: 0.97, Mean Loss: 46.48, Median Loss: 46.48, Std Loss: 46.48, Mean Reward: -3.79, Median Reward: -6.00, Std Reward: -284.00
Episode: 8, step: 9, Pop: 10/5, Epsilon: 0.97, Mean Loss: 62.87, Median Loss: 62.87, Std Loss: 62.87, Mean Reward: 0.51, Median Reward: 0.00, Std Reward: 51.10
Episode: 9, step: 9, Pop: 4/5, Epsilon: 0.96, Mean Loss: 48.80, Median Loss: 48.80, Std Loss: 48.80, Mean Reward: -1.29, Median Reward: 0.00, Std Reward: -100.40
Episode: 10, step: 9, Pop: 7/5, Epsilon: 0.96, Mean Loss: 50.94, Median Loss: 50.94, Std Loss: 50.94, Mean Reward: -1.70, Median Reward: 0.00, Std Reward: -139.40
Episode: 11, step: 9, Pop: 7/5, Epsilon: 0.95, Mean Loss: 81.61, Median Loss: 81.61, Std Loss: 81.61, Mean Reward: 1.35, Median Reward: 2.00, Std Reward: 115.70
Episode: 12, step: 9, Pop: 7/5, Epsilon: 0.95, Mean Loss: 46.48, Median Loss: 46.48, Std Loss: 46.48, Mean Reward: 0.57, Median Reward: 0.00, Std Reward: 46.90
Episode: 13, step: 9, Pop: 6/5, Epsilon: 0.94, Mean Loss: 41.74, Median Loss: 41.74, Std Loss: 41.74, Mean Reward: 0.08, Median Reward: 2.00, Std Reward: 5.30
Episode: 14, step: 9, Pop: 7/5, Epsilon: 0.94, Mean Loss: 37.59, Median Loss: 37.59, Std Loss: 37.59, Mean Reward: 1.86, Median Reward: 2.00, Std Reward: 152.80
Episode: 15, step: 9, Pop: 6/5, Epsilon: 0.94, Mean Loss: 54.65, Median Loss: 54.65, Std Loss: 54.65, Mean Reward: -0.85, Median Reward: 0.00, Std Reward: -72.50
Episode: 16, step: 9, Pop: 7/5, Epsilon: 0.93, Mean Loss: 60.60, Median Loss: 60.60, Std Loss: 60.60, Mean Reward: 0.09, Median Reward: 2.00, Std Reward: 7.70
Episode: 17, step: 9, Pop: 6/5, Epsilon: 0.93, Mean Loss: 45.52, Median Loss: 45.52, Std Loss: 45.52, Mean Reward: -1.80, Median Reward: 0.00, Std Reward: -129.30
Episode: 18, step: 9, Pop: 7/5, Epsilon: 0.92, Mean Loss: 53.45, Median Loss: 53.45, Std Loss: 53.45, Mean Reward: -0.03, Median Reward: 2.00, Std Reward: -2.20
Episode: 19, step: 9, Pop: 6/5, Epsilon: 0.92, Mean Loss: 30.59, Median Loss: 30.59, Std Loss: 30.59, Mean Reward: -2.36, Median Reward: 0.00, Std Reward: -203.30
Episode: 20, step: 9, Pop: 9/5, Epsilon: 0.91, Mean Loss: 36.29, Median Loss: 36.29, Std Loss: 36.29, Mean Reward: 1.61, Median Reward: 2.00, Std Reward: 148.10
Episode: 21, step: 9, Pop: 6/5, Epsilon: 0.91, Mean Loss: 52.33, Median Loss: 52.33, Std Loss: 52.33, Mean Reward: -1.80, Median Reward: 0.00, Std Reward: -153.10
Episode: 22, step: 9, Pop: 9/5, Epsilon: 0.91, Mean Loss: 48.88, Median Loss: 48.88, Std Loss: 48.88, Mean Reward: -1.67, Median Reward: 0.00, Std Reward: -159.00
Episode: 23, step: 9, Pop: 4/5, Epsilon: 0.90, Mean Loss: 47.88, Median Loss: 47.88, Std Loss: 47.88, Mean Reward: -0.53, Median Reward: 2.00, Std Reward: -32.60
Episode: 24, step: 9, Pop: 9/5, Epsilon: 0.90, Mean Loss: 34.57, Median Loss: 34.57, Std Loss: 34.57, Mean Reward: 0.36, Median Reward: 2.00, Std Reward: 32.90
Episode: 25, step: 9, Pop: 7/5, Epsilon: 0.90, Mean Loss: 57.61, Median Loss: 57.61, Std Loss: 57.61, Mean Reward: 2.22, Median Reward: 2.00, Std Reward: 164.30
