Episode: 0, step: 9, Pop: 8/5, Epsilon: 1.00, Mean Loss: 0.00, Median Loss: 0.00, Std Loss: 0.00, Mean Reward: -1.73, Median Reward: 0.95, Std Reward: -86.50
Episode: 1, step: 9, Pop: 7/5, Epsilon: 0.99, Mean Loss: 40.48, Median Loss: 40.48, Std Loss: 40.48, Mean Reward: 0.73, Median Reward: 0.95, Std Reward: 36.50
Episode: 2, step: 9, Pop: 8/5, Epsilon: 0.99, Mean Loss: 24.97, Median Loss: 24.97, Std Loss: 24.97, Mean Reward: -0.23, Median Reward: 0.95, Std Reward: -11.50
Episode: 3, step: 9, Pop: 8/5, Epsilon: 0.99, Mean Loss: 58.50, Median Loss: 58.50, Std Loss: 58.50, Mean Reward: -0.92, Median Reward: 0.95, Std Reward: -46.00
Episode: 4, step: 9, Pop: 7/5, Epsilon: 0.98, Mean Loss: 56.78, Median Loss: 56.78, Std Loss: 56.78, Mean Reward: -1.55, Median Reward: 0.45, Std Reward: -77.60
Episode: 5, step: 9, Pop: 9/5, Epsilon: 0.98, Mean Loss: 35.62, Median Loss: 35.62, Std Loss: 35.62, Mean Reward: -2.23, Median Reward: 0.45, Std Reward: -111.60
Episode: 6, step: 9, Pop: 8/5, Epsilon: 0.97, Mean Loss: 67.31, Median Loss: 67.31, Std Loss: 67.31, Mean Reward: -2.07, Median Reward: 0.95, Std Reward: -103.50
Episode: 7, step: 9, Pop: 5/5, Epsilon: 0.97, Mean Loss: 59.11, Median Loss: 59.11, Std Loss: 59.11, Mean Reward: -1.23, Median Reward: -0.05, Std Reward: -61.50
Episode: 8, step: 9, Pop: 9/5, Epsilon: 0.97, Mean Loss: 61.05, Median Loss: 61.05, Std Loss: 61.05, Mean Reward: -2.33, Median Reward: 0.45, Std Reward: -116.50
Episode: 9, step: 9, Pop: 8/5, Epsilon: 0.96, Mean Loss: 38.21, Median Loss: 38.21, Std Loss: 38.21, Mean Reward: -1.80, Median Reward: 0.95, Std Reward: -89.90
Episode: 10, step: 9, Pop: 8/5, Epsilon: 0.96, Mean Loss: 36.06, Median Loss: 36.06, Std Loss: 36.06, Mean Reward: -2.03, Median Reward: 0.95, Std Reward: -101.70
Episode: 11, step: 9, Pop: 9/5, Epsilon: 0.95, Mean Loss: 25.73, Median Loss: 25.73, Std Loss: 25.73, Mean Reward: -2.17, Median Reward: 0.70, Std Reward: -108.50
Episode: 12, step: 9, Pop: 9/5, Epsilon: 0.95, Mean Loss: 56.74, Median Loss: 56.74, Std Loss: 56.74, Mean Reward: -0.34, Median Reward: 0.95, Std Reward: -17.00
Episode: 13, step: 9, Pop: 8/5, Epsilon: 0.94, Mean Loss: 73.43, Median Loss: 73.43, Std Loss: 73.43, Mean Reward: -2.02, Median Reward: 0.10, Std Reward: -101.00
Episode: 14, step: 9, Pop: 7/5, Epsilon: 0.94, Mean Loss: 37.66, Median Loss: 37.66, Std Loss: 37.66, Mean Reward: -0.32, Median Reward: 0.95, Std Reward: -16.00
Episode: 15, step: 9, Pop: 7/5, Epsilon: 0.94, Mean Loss: 46.46, Median Loss: 46.46, Std Loss: 46.46, Mean Reward: 0.14, Median Reward: 0.95, Std Reward: 7.00
Episode: 16, step: 9, Pop: 8/5, Epsilon: 0.93, Mean Loss: 36.27, Median Loss: 36.27, Std Loss: 36.27, Mean Reward: -1.58, Median Reward: 0.45, Std Reward: -79.20
Episode: 17, step: 9, Pop: 6/5, Epsilon: 0.93, Mean Loss: 55.98, Median Loss: 55.98, Std Loss: 55.98, Mean Reward: -0.83, Median Reward: 0.45, Std Reward: -41.50
Episode: 18, step: 9, Pop: 7/5, Epsilon: 0.93, Mean Loss: 46.93, Median Loss: 46.93, Std Loss: 46.93, Mean Reward: -0.15, Median Reward: 0.95, Std Reward: -7.40
Episode: 19, step: 9, Pop: 9/5, Epsilon: 0.92, Mean Loss: 51.31, Median Loss: 51.31, Std Loss: 51.31, Mean Reward: -2.66, Median Reward: 0.95, Std Reward: -133.00
Episode: 20, step: 9, Pop: 6/5, Epsilon: 0.92, Mean Loss: 60.97, Median Loss: 60.97, Std Loss: 60.97, Mean Reward: -0.64, Median Reward: 0.95, Std Reward: -32.00
Episode: 21, step: 9, Pop: 7/5, Epsilon: 0.91, Mean Loss: 43.33, Median Loss: 43.33, Std Loss: 43.33, Mean Reward: -1.48, Median Reward: 0.45, Std Reward: -74.00
Episode: 22, step: 9, Pop: 7/5, Epsilon: 0.91, Mean Loss: 52.51, Median Loss: 52.51, Std Loss: 52.51, Mean Reward: -1.57, Median Reward: 0.45, Std Reward: -78.50
Episode: 23, step: 9, Pop: 7/5, Epsilon: 0.90, Mean Loss: 51.20, Median Loss: 51.20, Std Loss: 51.20, Mean Reward: -1.96, Median Reward: 0.95, Std Reward: -97.90
Episode: 24, step: 9, Pop: 8/5, Epsilon: 0.90, Mean Loss: 60.91, Median Loss: 60.91, Std Loss: 60.91, Mean Reward: -2.29, Median Reward: 0.95, Std Reward: -114.50
Episode: 25, step: 9, Pop: 10/5, Epsilon: 0.90, Mean Loss: 53.37, Median Loss: 53.37, Std Loss: 53.37, Mean Reward: -3.05, Median Reward: 0.70, Std Reward: -152.50
Episode: 26, step: 9, Pop: 9/5, Epsilon: 0.89, Mean Loss: 48.86, Median Loss: 48.86, Std Loss: 48.86, Mean Reward: -2.35, Median Reward: 0.95, Std Reward: -117.50
Episode: 27, step: 9, Pop: 6/5, Epsilon: 0.89, Mean Loss: 54.49, Median Loss: 54.49, Std Loss: 54.49, Mean Reward: -1.06, Median Reward: 0.45, Std Reward: -53.00
Episode: 28, step: 9, Pop: 9/5, Epsilon: 0.89, Mean Loss: 47.46, Median Loss: 47.46, Std Loss: 47.46, Mean Reward: -1.09, Median Reward: 0.95, Std Reward: -54.50
Episode: 29, step: 9, Pop: 7/5, Epsilon: 0.88, Mean Loss: 62.17, Median Loss: 62.17, Std Loss: 62.17, Mean Reward: -0.97, Median Reward: 0.95, Std Reward: -48.50
Episode: 30, step: 9, Pop: 7/5, Epsilon: 0.88, Mean Loss: 50.33, Median Loss: 50.33, Std Loss: 50.33, Mean Reward: -0.34, Median Reward: 0.95, Std Reward: -17.00
Episode: 31, step: 9, Pop: 7/5, Epsilon: 0.87, Mean Loss: 65.54, Median Loss: 65.54, Std Loss: 65.54, Mean Reward: -3.48, Median Reward: -8.05, Std Reward: -173.80
Episode: 32, step: 9, Pop: 8/5, Epsilon: 0.87, Mean Loss: 45.30, Median Loss: 45.30, Std Loss: 45.30, Mean Reward: -1.68, Median Reward: 0.35, Std Reward: -84.00
Episode: 33, step: 9, Pop: 7/5, Epsilon: 0.87, Mean Loss: 54.86, Median Loss: 54.86, Std Loss: 54.86, Mean Reward: 1.09, Median Reward: 0.95, Std Reward: 54.50
