Episode: 0, step: 9, Pop: 8/5, Epsilon: 1.00, Mean Loss: 70.82, Median Loss: 70.82, Std Loss: 70.82, Mean Reward: -1.25, Median Reward: 0.00, Std Reward: -110.20
Episode: 1, step: 9, Pop: 8/5, Epsilon: 0.99, Mean Loss: 62.61, Median Loss: 62.61, Std Loss: 62.61, Mean Reward: 0.17, Median Reward: 0.00, Std Reward: 14.90
Episode: 2, step: 9, Pop: 6/5, Epsilon: 0.99, Mean Loss: 63.13, Median Loss: 63.13, Std Loss: 63.13, Mean Reward: 0.30, Median Reward: 0.00, Std Reward: 24.50
Episode: 3, step: 9, Pop: 3/5, Epsilon: 0.99, Mean Loss: 69.63, Median Loss: 69.63, Std Loss: 69.63, Mean Reward: -2.45, Median Reward: 0.00, Std Reward: -157.00
Episode: 4, step: 9, Pop: 6/5, Epsilon: 0.98, Mean Loss: 63.94, Median Loss: 63.94, Std Loss: 63.94, Mean Reward: 0.73, Median Reward: 0.00, Std Reward: 53.00
Episode: 5, step: 9, Pop: 7/5, Epsilon: 0.98, Mean Loss: 56.29, Median Loss: 56.29, Std Loss: 56.29, Mean Reward: -0.94, Median Reward: 0.00, Std Reward: -79.30
Episode: 6, step: 9, Pop: 8/5, Epsilon: 0.97, Mean Loss: 73.04, Median Loss: 73.04, Std Loss: 73.04, Mean Reward: 0.88, Median Reward: 0.00, Std Reward: 74.60
Episode: 7, step: 9, Pop: 6/5, Epsilon: 0.97, Mean Loss: 63.89, Median Loss: 63.89, Std Loss: 63.89, Mean Reward: -0.27, Median Reward: 2.00, Std Reward: -21.80
Episode: 8, step: 9, Pop: 7/5, Epsilon: 0.96, Mean Loss: 48.99, Median Loss: 48.99, Std Loss: 48.99, Mean Reward: -0.22, Median Reward: 1.00, Std Reward: -18.70
Episode: 9, step: 9, Pop: 8/5, Epsilon: 0.96, Mean Loss: 57.80, Median Loss: 57.80, Std Loss: 57.80, Mean Reward: 0.96, Median Reward: 2.00, Std Reward: 91.30
Episode: 10, step: 9, Pop: 8/5, Epsilon: 0.96, Mean Loss: 48.63, Median Loss: 48.63, Std Loss: 48.63, Mean Reward: -0.85, Median Reward: 0.00, Std Reward: -72.40
