Episode: 0, step: 9, Pop: 6/5, Epsilon: 1.00, Mean Loss: 50.74, Median Loss: 50.74, Std Loss: 50.74, Mean Reward: -0.76, Median Reward: 0.95, Std Reward: -38.00
Episode: 1, step: 9, Pop: 8/5, Epsilon: 0.99, Mean Loss: 43.31, Median Loss: 43.31, Std Loss: 43.31, Mean Reward: -3.04, Median Reward: 0.45, Std Reward: -151.90
Episode: 2, step: 9, Pop: 7/5, Epsilon: 0.99, Mean Loss: 61.07, Median Loss: 61.07, Std Loss: 61.07, Mean Reward: -0.48, Median Reward: 1.95, Std Reward: -24.00
Episode: 3, step: 9, Pop: 6/5, Epsilon: 0.99, Mean Loss: 29.72, Median Loss: 29.72, Std Loss: 29.72, Mean Reward: -0.09, Median Reward: 0.95, Std Reward: -4.50
Episode: 4, step: 9, Pop: 8/5, Epsilon: 0.98, Mean Loss: 44.15, Median Loss: 44.15, Std Loss: 44.15, Mean Reward: 0.36, Median Reward: 0.95, Std Reward: 17.80
Episode: 5, step: 9, Pop: 7/5, Epsilon: 0.98, Mean Loss: 47.99, Median Loss: 47.99, Std Loss: 47.99, Mean Reward: -1.69, Median Reward: 0.45, Std Reward: -84.40
Episode: 6, step: 9, Pop: 7/5, Epsilon: 0.97, Mean Loss: 31.42, Median Loss: 31.42, Std Loss: 31.42, Mean Reward: -2.46, Median Reward: -0.05, Std Reward: -123.00
Episode: 7, step: 9, Pop: 8/5, Epsilon: 0.97, Mean Loss: 34.69, Median Loss: 34.69, Std Loss: 34.69, Mean Reward: -1.93, Median Reward: 0.45, Std Reward: -96.60
Episode: 8, step: 9, Pop: 7/5, Epsilon: 0.96, Mean Loss: 50.56, Median Loss: 50.56, Std Loss: 50.56, Mean Reward: -0.48, Median Reward: 0.95, Std Reward: -24.00
Episode: 9, step: 9, Pop: 4/5, Epsilon: 0.96, Mean Loss: 36.63, Median Loss: 36.63, Std Loss: 36.63, Mean Reward: 0.68, Median Reward: 0.95, Std Reward: 34.00
Episode: 10, step: 9, Pop: 8/5, Epsilon: 0.96, Mean Loss: 58.21, Median Loss: 58.21, Std Loss: 58.21, Mean Reward: -1.21, Median Reward: 0.70, Std Reward: -60.50
Episode: 11, step: 9, Pop: 7/5, Epsilon: 0.95, Mean Loss: 48.74, Median Loss: 48.74, Std Loss: 48.74, Mean Reward: -0.41, Median Reward: 0.95, Std Reward: -20.50
Episode: 12, step: 9, Pop: 8/5, Epsilon: 0.95, Mean Loss: 43.71, Median Loss: 43.71, Std Loss: 43.71, Mean Reward: -1.67, Median Reward: 0.95, Std Reward: -83.50
Episode: 13, step: 9, Pop: 9/5, Epsilon: 0.95, Mean Loss: 49.34, Median Loss: 49.34, Std Loss: 49.34, Mean Reward: -2.03, Median Reward: 0.95, Std Reward: -101.50
Episode: 14, step: 9, Pop: 6/5, Epsilon: 0.94, Mean Loss: 59.37, Median Loss: 59.37, Std Loss: 59.37, Mean Reward: 0.60, Median Reward: 0.95, Std Reward: 30.00
Episode: 15, step: 9, Pop: 7/5, Epsilon: 0.93, Mean Loss: 70.14, Median Loss: 70.14, Std Loss: 70.14, Mean Reward: -2.25, Median Reward: 0.45, Std Reward: -112.50
Episode: 16, step: 9, Pop: 5/5, Epsilon: 0.93, Mean Loss: 31.43, Median Loss: 31.43, Std Loss: 31.43, Mean Reward: 0.03, Median Reward: 0.70, Std Reward: 1.60
Episode: 17, step: 9, Pop: 8/5, Epsilon: 0.93, Mean Loss: 51.96, Median Loss: 51.96, Std Loss: 51.96, Mean Reward: -0.73, Median Reward: 0.95, Std Reward: -36.30
