Episode: 0, step: 9, Pop: 7/5, Epsilon: 1.00, Mean Loss: 60.99, Median Loss: 60.99, Std Loss: 60.99, Mean Reward: 0.44, Median Reward: 2.00, Std Reward: 37.50
Episode: 1, step: 9, Pop: 7/5, Epsilon: 0.99, Mean Loss: 41.17, Median Loss: 41.17, Std Loss: 41.17, Mean Reward: -0.66, Median Reward: 0.00, Std Reward: -54.00
Episode: 2, step: 9, Pop: 8/5, Epsilon: 0.99, Mean Loss: 66.30, Median Loss: 66.30, Std Loss: 66.30, Mean Reward: -2.33, Median Reward: -5.00, Std Reward: -203.00
Episode: 3, step: 9, Pop: 9/5, Epsilon: 0.98, Mean Loss: 88.45, Median Loss: 88.45, Std Loss: 88.45, Mean Reward: 0.30, Median Reward: 2.00, Std Reward: 27.30
Episode: 4, step: 9, Pop: 8/5, Epsilon: 0.98, Mean Loss: 67.81, Median Loss: 67.81, Std Loss: 67.81, Mean Reward: 0.16, Median Reward: 0.00, Std Reward: 13.70
Episode: 5, step: 9, Pop: 6/5, Epsilon: 0.98, Mean Loss: 67.17, Median Loss: 67.17, Std Loss: 67.17, Mean Reward: -1.95, Median Reward: 0.00, Std Reward: -155.90
Episode: 6, step: 9, Pop: 5/5, Epsilon: 0.97, Mean Loss: 83.79, Median Loss: 83.79, Std Loss: 83.79, Mean Reward: -2.68, Median Reward: 0.00, Std Reward: -196.00
Episode: 7, step: 9, Pop: 5/5, Epsilon: 0.97, Mean Loss: 56.60, Median Loss: 56.60, Std Loss: 56.60, Mean Reward: -0.13, Median Reward: 0.00, Std Reward: -9.00
Episode: 8, step: 9, Pop: 4/5, Epsilon: 0.96, Mean Loss: 66.85, Median Loss: 66.85, Std Loss: 66.85, Mean Reward: 0.12, Median Reward: 0.00, Std Reward: 9.00
Episode: 9, step: 9, Pop: 8/5, Epsilon: 0.96, Mean Loss: 66.33, Median Loss: 66.33, Std Loss: 66.33, Mean Reward: -1.52, Median Reward: 0.00, Std Reward: -128.10
Episode: 10, step: 9, Pop: 6/5, Epsilon: 0.96, Mean Loss: 37.27, Median Loss: 37.27, Std Loss: 37.27, Mean Reward: -0.96, Median Reward: 0.00, Std Reward: -77.40
Episode: 11, step: 9, Pop: 6/5, Epsilon: 0.95, Mean Loss: 68.20, Median Loss: 68.20, Std Loss: 68.20, Mean Reward: 0.38, Median Reward: 2.00, Std Reward: 30.80
Episode: 12, step: 9, Pop: 3/5, Epsilon: 0.95, Mean Loss: 42.79, Median Loss: 42.79, Std Loss: 42.79, Mean Reward: -0.68, Median Reward: 2.00, Std Reward: -36.00
Episode: 13, step: 9, Pop: 7/5, Epsilon: 0.94, Mean Loss: 40.85, Median Loss: 40.85, Std Loss: 40.85, Mean Reward: -1.00, Median Reward: -2.50, Std Reward: -87.80
Episode: 14, step: 9, Pop: 7/5, Epsilon: 0.94, Mean Loss: 33.51, Median Loss: 33.51, Std Loss: 33.51, Mean Reward: 0.45, Median Reward: 1.00, Std Reward: 40.60
Episode: 15, step: 9, Pop: 9/5, Epsilon: 0.94, Mean Loss: 62.18, Median Loss: 62.18, Std Loss: 62.18, Mean Reward: -1.65, Median Reward: 0.00, Std Reward: -159.80
Episode: 16, step: 9, Pop: 8/5, Epsilon: 0.93, Mean Loss: 39.07, Median Loss: 39.07, Std Loss: 39.07, Mean Reward: 0.43, Median Reward: 0.00, Std Reward: 40.00
Episode: 17, step: 9, Pop: 7/5, Epsilon: 0.93, Mean Loss: 40.49, Median Loss: 40.49, Std Loss: 40.49, Mean Reward: 0.54, Median Reward: 1.00, Std Reward: 42.40
Episode: 18, step: 9, Pop: 9/5, Epsilon: 0.93, Mean Loss: 59.68, Median Loss: 59.68, Std Loss: 59.68, Mean Reward: -0.52, Median Reward: 0.00, Std Reward: -50.50
Episode: 19, step: 9, Pop: 9/5, Epsilon: 0.92, Mean Loss: 39.87, Median Loss: 39.87, Std Loss: 39.87, Mean Reward: -0.23, Median Reward: 0.00, Std Reward: -21.80
Episode: 20, step: 9, Pop: 9/5, Epsilon: 0.92, Mean Loss: 41.54, Median Loss: 41.54, Std Loss: 41.54, Mean Reward: -2.21, Median Reward: 0.00, Std Reward: -209.50
Episode: 21, step: 9, Pop: 8/5, Epsilon: 0.91, Mean Loss: 56.92, Median Loss: 56.92, Std Loss: 56.92, Mean Reward: 2.13, Median Reward: 2.00, Std Reward: 191.70
Episode: 22, step: 9, Pop: 7/5, Epsilon: 0.91, Mean Loss: 64.37, Median Loss: 64.37, Std Loss: 64.37, Mean Reward: 1.05, Median Reward: 2.00, Std Reward: 84.90
Episode: 23, step: 9, Pop: 6/5, Epsilon: 0.90, Mean Loss: 70.40, Median Loss: 70.40, Std Loss: 70.40, Mean Reward: -0.10, Median Reward: 2.00, Std Reward: -7.00
Episode: 24, step: 9, Pop: 8/5, Epsilon: 0.90, Mean Loss: 42.33, Median Loss: 42.33, Std Loss: 42.33, Mean Reward: 0.09, Median Reward: 0.00, Std Reward: 8.00
Episode: 25, step: 9, Pop: 6/5, Epsilon: 0.90, Mean Loss: 68.26, Median Loss: 68.26, Std Loss: 68.26, Mean Reward: -0.19, Median Reward: 0.00, Std Reward: -14.20
Episode: 26, step: 9, Pop: 7/5, Epsilon: 0.89, Mean Loss: 47.33, Median Loss: 47.33, Std Loss: 47.33, Mean Reward: 0.16, Median Reward: 0.00, Std Reward: 13.90
Episode: 27, step: 9, Pop: 10/5, Epsilon: 0.89, Mean Loss: 59.91, Median Loss: 59.91, Std Loss: 59.91, Mean Reward: 0.41, Median Reward: 2.00, Std Reward: 41.50
Episode: 28, step: 9, Pop: 6/5, Epsilon: 0.89, Mean Loss: 60.06, Median Loss: 60.06, Std Loss: 60.06, Mean Reward: -1.50, Median Reward: 0.00, Std Reward: -103.30
Episode: 29, step: 9, Pop: 6/5, Epsilon: 0.88, Mean Loss: 49.82, Median Loss: 49.82, Std Loss: 49.82, Mean Reward: -1.61, Median Reward: 0.00, Std Reward: -122.50
